person_age,person_gender,person_education,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,person_home_ownership_1,person_home_ownership_2,person_home_ownership_3,person_home_ownership_4,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_status
22,0,3,71948,0,35000,16.02,0.49,3,561,0,0,1,0,0,0,0,0,0,1,0,1
21,0,0,12282,0,1000,11.14,0.08,2,504,1,0,0,0,1,0,1,0,0,0,0,0
25,0,0,12438,3,5500,12.87,0.44,3,635,0,0,0,1,0,0,0,0,1,0,0,1
23,0,2,79753,0,35000,15.23,0.44,2,675,0,0,1,0,0,0,0,0,1,0,0,1
24,1,3,66135,1,35000,14.27,0.53,4,586,0,0,1,0,0,0,0,0,1,0,0,1
21,0,0,12951,0,2500,7.14,0.19,2,532,0,0,0,0,1,0,0,0,0,0,1,1
26,0,2,93471,1,35000,12.42,0.37,3,701,0,0,1,0,0,0,1,0,0,0,0,1
24,0,0,95550,5,35000,11.11,0.37,4,585,0,0,1,0,0,0,0,0,1,0,0,1
24,0,1,100684,3,35000,8.9,0.35,2,544,0,0,1,0,0,0,0,0,0,1,0,1
21,0,0,12739,0,1600,14.74,0.13,3,640,0,0,0,0,1,0,0,0,0,0,1,1
22,0,0,102985,0,35000,10.37,0.34,4,621,0,0,1,0,0,0,0,0,0,0,1,1
21,0,1,13113,0,4500,8.63,0.34,2,651,0,0,0,0,1,0,0,1,0,0,0,1
23,1,2,114860,3,35000,7.9,0.3,2,573,0,0,1,0,0,0,0,0,0,0,1,1
26,1,3,130713,0,35000,18.39,0.27,4,708,0,0,1,0,0,0,1,0,0,0,0,1
23,0,1,138998,0,35000,7.9,0.25,4,583,0,0,1,0,0,0,1,0,0,0,0,0
23,0,3,600891,5,30000,10.65,0.05,3,670,1,0,0,1,0,1,0,0,0,0,0,0
23,1,2,144943,0,35000,7.9,0.24,4,663,0,0,1,0,0,0,1,0,0,0,0,0
23,0,0,111369,0,35000,20,0.31,4,694,0,0,1,0,0,0,0,0,1,0,0,1
23,1,2,136628,0,35000,18.25,0.26,4,709,0,0,1,0,0,1,0,0,0,0,0,1
24,0,3,14283,1,1750,10.99,0.12,2,679,0,0,0,1,0,0,1,0,0,0,0,1
25,1,2,195718,0,35000,7.49,0.18,4,684,1,0,1,0,0,0,0,0,0,0,1,0
25,1,0,165792,4,34800,16.77,0.21,2,662,0,0,1,0,0,0,0,0,0,1,0,0
22,0,3,79255,0,34000,17.58,0.43,4,691,0,0,1,0,0,0,1,0,0,0,0,1
24,0,2,13866,0,1500,7.29,0.11,3,600,1,0,0,0,1,0,0,0,0,1,0,0
22,1,2,97420,1,33950,14.54,0.35,4,691,0,0,1,0,0,0,0,0,0,1,0,1
24,0,0,82443,0,33000,12.68,0.4,3,654,0,0,1,0,0,0,0,1,0,0,0,1
21,0,1,14288,0,4575,17.74,0.32,3,626,0,0,0,1,0,0,0,0,0,0,1,1
23,1,0,14293,0,1400,9.32,0.1,3,607,0,0,0,0,1,0,0,0,0,1,0,0
24,0,2,79054,1,32500,9.99,0.41,3,700,0,0,1,0,0,0,0,1,0,0,0,1
21,0,2,14988,0,4000,12.84,0.27,2,553,0,1,0,0,0,0,1,0,0,0,0,1
